name,rank
Bar-Ilan University,601+
University of the Basque Country,601+
Beijing Jiaotong University,601+
Beijing University of Technology,601+
University of Belgrade,601+
Ben-Gurion University of the Negev,601+
BINUS University,601+
Boğaziçi University,601+
University of Bordeaux,601+
Université Bourgogne Franche-Comté (UBFC),601+
Bowling Green State University,601+
University of Brasília,601+
University of Brawijaya,601+
Brno University of Technology,601+
Bucharest University of Economic Studies,601+
Budapest University of Technology and Economics,601+
Cairo University,601+
University of Calabria,601+
University of Calcutta,601+
"University of California, Riverside",601+
University of Catania,601+
Chung Yuan Christian University,601+
University of Clermont Auvergne,601+
Comenius University in Bratislava,601+
Complutense University of Madrid,601+
Corvinus University of Budapest,601+
Czech University of Life Sciences Prague (CZU),601+
De La Salle University,601+
University of Delhi,601+
Diponegoro University,601+
Dokuz Eylül University,601+
Durban University of Technology,601+
EAFIT University,601+
East China University of Science and Technology,601+
Prague University of Economics and Business,601+
Ewha Womans University,601+
Universidade Federal do Ceará (UFC),601+
Federal University of Minas Gerais,601+
Universidade Federal do Paraná (UFPR),601+
Federal University of Pernambuco,601+
Federal University of Rio de Janeiro,601+
Federal University of Uberlândia,601+
Federation University Australia,601+
Feng Chia University,601+
Ferdowsi University of Mashhad,601+
Fluminense Federal University,601+
Gabriele d‘Annunzio University,601+
Universitas Gadjah Mada,601+
Georgia Southern University,601+
University of Girona,601+
Guangxi University,601+
Hacettepe University,601+
University of Hertfordshire,601+
Hiroshima University,601+
University of Indonesia,601+
Istanbul University,601+
Jagiellonian University,601+
Kangwon National University,601+
University of Kansas,601+
Kansas State University,601+
Kasetsart University,601+
Kaunas University of Technology,601+
Kazan Federal University,601+
Kent State University,601+
Khon Kaen University,601+
Kwame Nkrumah University of Science and Technology,601+
University of KwaZulu-Natal,601+
University of Las Palmas de Gran Canaria,601+
University of Łódź,601+
Lodz University of Technology,601+
University of Lorraine,601+
"Lumière University, Lyon 2",601+
Makerere University,601+
University of Malaga,601+
Universiti Malaysia Sarawak (UNIMAS),601+
Manipal Academy of Higher Education,601+
University of Manouba,601+
University of Maribor,601+
Marmara University,601+
Marquette University,601+
Masaryk University,601+
University of Memphis,601+
Mendel University in Brno,601+
University of Milan-Bicocca,601+
Ming Chuan University,601+
Mohammed V University of Rabat,601+
University of Monastir,601+
Multimedia University,601+
University of Mumbai,601+
National and Kapodistrian University of Athens,601+
National Autonomous University of Mexico,601+
National Chung Hsing University,601+
National University of Colombia,601+
National Taipei University,601+
National Technical University Kharkiv Polytechnic Institute,601+
National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,601+
New Mexico State University (Main campus),601+
University of Nigeria Nsukka,601+
Normandy University,601+
University of North Carolina at Greensboro,601+
University of North Carolina Wilmington,601+
University of Novi Sad,601+
Obafemi Awolowo University,601+
Ohio University (Main campus),601+
Örebro University,601+
University of Oviedo,601+
Universitas Padjadjaran,601+
Panjab University,601+
University of Pardubice,601+
Paris Nanterre University,601+
University of Parma,601+
University of Perugia,601+
Polytechnic Institute of Porto,601+
Pondicherry University,601+
Pontifical Catholic University of Peru,601+
Pontifical Javeriana University,601+
Prince Sattam Bin Abdulaziz University,601+
Public University of Navarre,601+
Université du Québec,601+
University of Regensburg,601+
University of Rennes 1,601+
University Rey Juan Carlos,601+
University of Rhode Island,601+
Rovira i Virgili University,601+
Russian Presidential Academy of National Economy and Public Administration,601+
San Diego State University,601+
San Jose State University,601+
University of Sannio,601+
University of Santiago de Compostela,601+
University of Science and Technology Beijing,601+
Universitas Sebelas Maret,601+
University of Sfax,601+
Shahid Beheshti University,601+
Silesian University of Technology,601+
Sogang University,601+
University of Sousse,601+
University of South Africa,601+
Southern Cross University,601+
Southwest State University,601+
University of Split,601+
Stellenbosch University,601+
University of Strasbourg,601+
